# Step MSD_caffeine(A^2)
# TimeStep c_cMSDcaf[4]
402000 23.5441
403000 24.5209
404000 23.4699
405000 24.0579
406000 24.4244
407000 23.0178
408000 23.0157
409000 24.2989
410000 24.9064
411000 25.6562
412000 23.4947
413000 22.9855
414000 21.8152
415000 21.5049
416000 21.3599
417000 23.2461
418000 22.496
419000 20.1989
420000 19.4376
421000 19.6141
422000 20.3095
423000 20.5236
424000 19.5915
425000 19.1611
426000 17.6857
427000 17.4922
428000 17.7045
429000 14.8593
430000 15.1727
431000 15.2833
432000 15.0178
433000 15.5367
434000 13.7106
435000 14.3036
436000 15.0421
437000 13.6784
438000 13.5817
439000 14.6431
440000 17.3275
441000 17.6924
442000 15.566
443000 16.0665
444000 16.9684
445000 18.0941
446000 18.194
447000 19.7254
448000 18.4671
449000 18.3264
450000 19.2013
451000 16.4972
452000 17.4571
453000 17.5903
454000 16.0552
455000 15.0017
456000 14.4992
457000 15.6042
458000 16.4094
459000 15.9357
460000 16.6865
461000 15.4659
462000 16.1105
463000 15.885
464000 16.8995
465000 17.1363
466000 16.6381
467000 16.252
468000 14.2692
469000 14.0793
470000 14.7012
471000 14.0847
472000 14.0461
473000 14.9335
474000 16.2061
475000 15.0916
476000 17.4255
477000 18.684
478000 22.9175
479000 21.8764
480000 19.8421
481000 17.0762
482000 13.798
483000 13.7489
484000 12.9897
485000 15.0986
486000 17.9488
487000 20.0985
488000 18.6354
489000 17.6161
490000 16.3165
491000 12.5523
492000 11.5498
493000 9.95257
494000 10.8062
495000 11.2135
496000 13.0736
497000 11.1139
498000 10.2994
499000 8.21832
500000 6.32185
501000 6.45359
502000 7.05481
503000 6.21181
504000 5.8263
505000 6.39118
506000 7.41224
507000 6.76824
508000 7.05646
509000 8.71173
510000 7.8747
511000 7.11193
512000 5.41248
513000 6.68685
514000 6.80376
515000 7.94545
516000 8.40832
517000 8.3194
518000 6.96906
519000 8.05696
520000 10.3016
521000 11.7323
522000 9.5837
523000 10.6067
524000 11.8741
525000 10.0119
526000 9.87363
527000 11.485
528000 11.5331
529000 12.2059
530000 12.6205
531000 13.5813
532000 13.2913
533000 13.3387
534000 15.8878
535000 16.466
536000 15.5834
537000 15.5767
538000 16.1654
539000 16.5225
540000 17.7991
541000 18.7313
542000 17.0765
543000 15.8754
544000 15.961
545000 15.2074
546000 17.1857
547000 15.7431
548000 15.7972
549000 15.6403
550000 15.3173
551000 16.5702
